accepted_date,year,period,before_publication_close_price,1d_close_price,2d_close_price,7d_close_price,14d_close_price,revenue,cost_of_goods_sold,operating_income,net_income,current_assets,non_current_assets,current_liabilities,non_current_assets,equity,operating_cash_flow,capital_expenditure,pe,eps,ebitda_margin,ev_ebitda,netincome_ratio,debt_to_equity,current_ratio,quick_ratio,roe,roa,free_cash_flow_yield,positive_score,neutral_score,negative_score
2007-07-26,2007,Q2,4.309000,4.200500,4.202000,3.840000,3.672500,2886000000,2644000000,116000000,78000000,2859000000,1125000000,1936000000,1125000000,550000000,299000000,-47000000,453.5789,0.0095,0.0665,196.6988,0.0270,2.2836,1.4768,1.0584,0.1418,0.0196,0.0071,13,61,25
2007-10-25,2007,Q3,4.436500,4.410500,4.500000,4.299000,3.993000,3262000000,3005000000,123000000,80000000,3424000000,1194000000,2319000000,1194000000,761000000,237000000,-69000000,467.0000,0.0095,0.0628,192.0645,0.0245,1.6728,1.4765,1.0276,0.1051,0.0173,0.0046,12,61,25
2008-02-08,2007,Q4,3.675000,3.759500,3.722500,3.682000,3.223500,5672000000,5201000000,271000000,207000000,5164000000,1321000000,3714000000,1321000000,1197000000,1148000000,-73000000,147.0000,0.025,0.0638,95.1906,0.0365,1.1228,1.3904,1.0277,0.1729,0.0319,0.0352,7,79,13
2008-04-24,2008,Q1,3.884500,4.043000,4.098500,3.796000,3.710000,4135000000,3767000000,198000000,143000000,3965000000,1918000000,3551000000,1918000000,1470000000,-645000000,-61000000,228.5000,0.017,0.0704,121.1881,0.0346,0.9340,1.1166,0.7694,0.0973,0.0243,-0.0218,11,65,23
2008-07-24,2008,Q2,3.936000,3.915500,3.799000,3.785500,4.334500,4063000000,3715000000,217000000,158000000,4236000000,2086000000,3216000000,2086000000,2230000000,347000000,-69000000,207.1579,0.019,0.0753,115.9621,0.0389,0.3919,1.3172,0.9223,0.0709,0.0250,0.0084,11,66,21
2008-10-22,2008,Q3,2.499500,2.516000,2.448000,2.862000,2.315000,4264000000,3922000000,154000000,118000000,4430000000,2136000000,3144000000,2136000000,2527000000,424000000,-102000000,178.5357,0.014,0.0645,85.2027,0.0277,0.1721,1.4090,0.9291,0.0467,0.0180,0.0151,11,67,21
2009-01-29,2008,Q4,2.500000,2.941000,3.057500,3.335500,3.097500,6704000000,6182000000,273000000,225000000,6157000000,2157000000,4746000000,2157000000,2672000000,1571000000,-102000000,96.1538,0.026,0.0558,66.0080,0.0336,0.1751,1.2973,0.9595,0.0842,0.0271,0.0685,7,79,12
2009-04-23,2009,Q1,4.030500,4.223000,4.156000,3.988500,3.709500,4889000000,4438000000,244000000,177000000,4775000000,2205000000,3410000000,2205000000,2918000000,-585000000,-55000000,196.6098,0.0205,0.0710,104.7743,0.0362,0.0254,1.4003,0.9727,0.0607,0.0254,-0.0185,9,65,24
2009-07-23,2009,Q2,4.693500,4.324500,4.212000,4.372000,4.298000,4651000000,4226000000,159000000,142000000,5304000000,2371000000,3636000000,2371000000,3256000000,468000000,-78000000,284.4545,0.0165,0.0581,157.4184,0.0305,0.0335,1.4587,1.0440,0.0436,0.0185,0.0096,10,63,26
2009-10-22,2009,Q3,4.672500,5.924500,6.232000,5.942000,6.495500,5449000000,4957000000,251000000,199000000,6369000000,2603000000,4537000000,2603000000,3585000000,799000000,-103000000,203.1522,0.023,0.0651,121.1279,0.0365,0.0324,1.4038,1.0298,0.0555,0.0222,0.0172,10,63,26
2010-01-28,2009,Q4,6.301500,6.270500,5.943500,5.841500,5.904000,9520000000,8648000000,476000000,384000000,9797000000,4016000000,7364000000,4016000000,5257000000,2610000000,-137000000,144.8621,0.0435,0.0621,99.8413,0.0403,0.0207,1.3304,0.9986,0.0730,0.0278,0.0446,7,77,15
2010-04-22,2010,Q1,7.504500,7.181500,7.355500,6.874500,6.693500,7131000000,6413000000,394000000,299000000,7964000000,4078000000,5193000000,4078000000,5618000000,-1098000000,-140000000,224.0149,0.0335,0.0739,130.4840,0.0419,0.0233,1.5336,1.1319,0.0532,0.0248,-0.0185,11,60,27
2010-07-22,2010,Q2,6.003500,5.943500,5.920000,6.003500,6.294500,6566000000,5947000000,270000000,207000000,8118000000,4279000000,5250000000,4279000000,5857000000,250000000,-196000000,261.0217,0.023,0.0663,127.4306,0.0315,0.0225,1.5463,1.1263,0.0353,0.0167,0.0010,12,60,26
2010-10-21,2010,Q3,8.248500,8.456500,8.450000,8.129000,8.666500,7560000000,6908000000,268000000,231000000,9559000000,4603000000,6375000000,4603000000,6397000000,855000000,-315000000,323.4706,0.0255,0.0599,166.9085,0.0306,0.0256,1.4995,1.0736,0.0361,0.0163,0.0073,11,60,27
2011-01-27,2010,Q4,9.222500,8.557000,8.482000,8.821500,9.331000,12947000000,11926000000,474000000,416000000,13747000000,5050000000,10372000000,5050000000,6864000000,3480000000,-328000000,198.3333,0.0465,0.0531,127.2496,0.0321,0.0934,1.3254,0.9978,0.0606,0.0221,0.0380,7,74,17
2011-04-26,2011,Q1,9.115000,9.831500,9.753500,9.855500,9.625500,9857000000,9042000000,322000000,201000000,11288000000,5594000000,7730000000,5594000000,7347000000,-1586000000,-298000000,414.3182,0.022,0.0529,162.8758,0.0204,0.0000,1.4603,1.0589,0.0274,0.0119,-0.0229,12,59,28
2011-07-26,2011,Q2,10.709000,11.126000,11.195000,10.074000,10.147500,9913000000,9164000000,201000000,191000000,11279000000,6662000000,8045000000,6662000000,7765000000,423000000,-433000000,509.9524,0.021,0.0488,204.6912,0.0193,0.0000,1.4020,0.9687,0.0246,0.0106,-0.0001,12,60,27
2011-10-25,2011,Q3,11.357500,9.920000,10.339000,10.914500,10.946500,10876000000,10215000000,79000000,63000000,11904000000,7150000000,8978000000,7150000000,7766000000,797000000,-529000000,1622.5000,0.007,0.0391,254.7273,0.0058,0.2975,1.3259,0.8712,0.0081,0.0033,0.0026,12,59,28
2012-01-31,2011,Q4,9.722000,8.973000,9.086000,9.249000,9.113000,17431000000,16351000000,260000000,177000000,17490000000,7788000000,14896000000,7788000000,7757000000,4269000000,-550000000,498.5641,0.0195,0.0374,145.9420,0.0102,0.1824,1.1741,0.8155,0.0228,0.0070,0.0420,7,73,18
2012-04-26,2012,Q1,9.799500,11.342500,11.595000,11.258000,11.203000,13185000000,12267000000,192000000,130000000,12154000000,8185000000,10488000000,8185000000,7271000000,-2438000000,-386000000,675.8276,0.0145,0.0426,162.0489,0.0099,0.0000,1.1588,0.7178,0.0179,0.0064,-0.0318,12,59,27
2012-07-26,2012,Q2,11.000500,11.866000,11.804500,11.699500,11.871000,12834000000,11926000000,107000000,7000000,11793000000,9229000000,10964000000,9229000000,7505000000,594000000,-657000000,11000.5000,0.001,0.0508,155.7661,0.0005,0.0000,1.0756,0.6389,0.0009,0.0003,-0.0006,12,58,28
2012-10-25,2012,Q3,11.146000,11.912000,11.644500,11.603000,11.261500,13806000000,10319000000,-28000000,-274000000,13118000000,9716000000,12605000000,9716000000,7553000000,943000000,-716000000,-367.8548,-0.0303,0.0319,235.2433,-0.0198,0.0000,1.0407,0.6061,-0.0363,-0.0120,0.0023,12,59,28
2013-01-29,2012,Q4,13.017500,13.638000,13.275000,13.011500,13.487500,21268000000,16137000000,405000000,98000000,21296000000,11259000000,19002000000,11259000000,8192000000,5081000000,-2025000000,1205.3241,0.0108,0.0457,139.7230,0.0046,0.4675,1.1207,0.7795,0.0120,0.0030,0.0246,7,72,19
2013-04-25,2013,Q1,13.735000,12.740500,12.487000,12.786000,13.328000,16070000000,11801000000,181000000,82000000,16313000000,12064000000,14332000000,12064000000,8432000000,-2372000000,-670000000,1526.1111,0.009,0.0485,170.0796,0.0051,0.3605,1.1382,0.7264,0.0097,0.0029,-0.0243,11,60,28
2013-07-25,2013,Q2,15.170000,15.600500,15.305000,15.049500,14.567000,15704000000,11209000000,79000000,-7000000,16285000000,13338000000,14735000000,13338000000,8733000000,880000000,-855000000,-18962.5000,-0.0008,0.0464,155.1319,-0.0004,0.3483,1.1052,0.7006,-0.0008,-0.0002,0.0002,11,59,29
