filling_date,year,period,1d_close_price,2d_close_price,7d_close_price,14d_close_price,revenue,cost_of_goods_sold,operating_income,net_income,current_assets,non_current_assets,current_liabilities,non_current_assets,equity,operating_cash_flow,capital_expenditure,positive_score,neutral_score,negative_score
2006-07-27,2006,Q2,1.358500,1.344500,1.334500,1.324500,2139000000,1986000000,47000000,22000000,2231000000,934000000,1458000000,934000000,383000000,130000000,-58000000,13,58,28
2006-10-26,2006,Q3,1.912000,1.907500,1.872500,1.942000,2307000000,2147000000,40000000,19000000,2315000000,953000000,1768000000,953000000,196000000,130000000,-62000000,13,59,27
2007-02-16,2006,Q4,2.075500,2.075500,2.039000,1.884500,3986000000,3651000000,197000000,97000000,3373000000,990000000,2532000000,990000000,431000000,744000000,-50000000,7,79,12
2007-04-26,2007,Q1,3.130000,3.066500,3.109500,3.046000,3015000000,2742000000,145000000,111000000,2600000000,1061000000,1847000000,1061000000,353000000,-279000000,-34000000,12,61,26
2007-07-26,2007,Q2,4.202000,4.135000,3.985500,3.705500,2886000000,2644000000,116000000,78000000,2859000000,1125000000,1936000000,1125000000,550000000,299000000,-47000000,13,61,25
2007-10-25,2007,Q3,4.500000,4.505000,4.382500,4.179000,3262000000,3005000000,123000000,80000000,3424000000,1194000000,2319000000,1194000000,761000000,237000000,-69000000,12,61,25
2008-02-11,2007,Q4,3.722500,3.886500,3.604000,3.663500,5672000000,5201000000,271000000,207000000,5164000000,1321000000,3714000000,1321000000,1197000000,1148000000,-73000000,7,79,13
2008-04-25,2008,Q1,4.098500,4.098500,3.865500,3.620500,4135000000,3767000000,198000000,143000000,3965000000,1918000000,3551000000,1918000000,1470000000,-645000000,-61000000,11,65,23
2008-07-25,2008,Q2,3.799000,3.799000,3.787500,4.025500,4063000000,3715000000,217000000,158000000,4236000000,2086000000,3216000000,2086000000,2230000000,347000000,-69000000,11,66,21
2008-10-22,2008,Q3,2.516000,2.448000,2.844500,2.599000,4264000000,3922000000,154000000,118000000,4430000000,2136000000,3144000000,2136000000,2527000000,424000000,-102000000,11,67,21
2009-01-30,2008,Q4,3.057500,3.057500,3.327500,3.163000,6704000000,6182000000,273000000,225000000,6157000000,2157000000,4746000000,2157000000,2672000000,1571000000,-102000000,7,79,12
2009-04-24,2009,Q1,4.156000,4.156000,3.948000,3.897500,4889000000,4438000000,244000000,177000000,4775000000,2205000000,3410000000,2205000000,2918000000,-585000000,-55000000,9,65,24
2009-07-24,2009,Q2,4.212000,4.212000,4.288000,4.266000,4651000000,4226000000,159000000,142000000,5304000000,2371000000,3636000000,2371000000,3256000000,468000000,-78000000,10,63,26
2009-10-23,2009,Q3,6.232000,6.232000,5.940500,6.310000,5449000000,4957000000,251000000,199000000,6369000000,2603000000,4537000000,2603000000,3585000000,799000000,-103000000,10,63,26
2010-01-29,2009,Q4,5.943500,5.943500,5.869500,5.983000,9520000000,8648000000,476000000,384000000,9797000000,4016000000,7364000000,4016000000,5257000000,2610000000,-137000000,7,77,15
2010-04-23,2010,Q1,7.355500,7.355500,6.855000,6.249000,7131000000,6413000000,394000000,299000000,7964000000,4078000000,5193000000,4078000000,5618000000,-1098000000,-140000000,11,60,27
2010-07-23,2010,Q2,5.920000,5.920000,5.894500,6.416000,6566000000,5947000000,270000000,207000000,8118000000,4279000000,5250000000,4279000000,5857000000,250000000,-196000000,12,60,26
2010-10-22,2010,Q3,8.450000,8.450000,8.261500,8.538500,7560000000,6908000000,268000000,231000000,9559000000,4603000000,6375000000,4603000000,6397000000,855000000,-315000000,11,60,27
2011-01-28,2010,Q4,8.482000,8.482000,8.796500,9.462500,12947000000,11926000000,474000000,416000000,13747000000,5050000000,10372000000,5050000000,6864000000,3480000000,-328000000,7,74,17
2011-04-27,2011,Q1,9.753500,9.790500,9.998500,10.219000,9857000000,9042000000,322000000,201000000,11288000000,5594000000,7730000000,5594000000,7347000000,-1586000000,-298000000,12,59,28
2011-07-27,2011,Q2,11.195000,11.126000,10.498000,9.706500,9913000000,9164000000,201000000,191000000,11279000000,6662000000,8045000000,6662000000,7765000000,423000000,-433000000,12,60,27
2011-10-26,2011,Q3,10.339000,10.866000,10.781000,10.561000,10876000000,10215000000,79000000,63000000,11904000000,7150000000,8978000000,7150000000,7766000000,797000000,-529000000,12,59,28
